"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2023-01-09,"02:04:00","X2","HRX",92
2023-01-09,"13:07:00","X2","HRN",37
2023-01-09,NA,"X4","TM",14.5
2023-01-09,"14:07:00","X4","TX",17.1
2023-01-09,"23:10:00","X4","TN",11.7
2023-01-09,NA,"X4","HRM",48
2023-01-09,"01:18:00","X4","HRX",75
2023-01-09,"13:30:00","X4","HRN",34
2023-01-09,NA,"X4","PM",1013.2
2023-01-09,"23:47:00","X4","PX",1020.7
2023-01-09,"00:13:00","X4","PN",1006.8
2023-01-09,NA,"X4","PPT",0
2023-01-09,NA,"X4","RS24h",9.6
2023-01-09,NA,"X4","VVM10",4.2
2023-01-09,NA,"X4","DVM10",304
2023-01-09,"16:20:00","X4","VVX10",14.5
2023-01-09,"16:20:00","X4","DVVX10",314
2023-01-09,NA,"X8","TM",13.5
2023-01-09,"13:09:00","X8","TX",16.7
2023-01-09,"23:59:00","X8","TN",10.5
2023-01-09,NA,"X8","HRM",52
2023-01-09,"01:45:00","X8","HRX",84
2023-01-09,"12:33:00","X8","HRN",35
2023-01-09,NA,"X8","PM",1007.6
2023-01-09,"23:30:00","X8","PX",1014.5
2023-01-09,"00:12:00","X8","PN",1001.1
2023-01-09,NA,"X8","PPT",0
2023-01-09,NA,"X8","RS24h",9.5
2023-01-09,NA,"X8","VVM10",4.2
2023-01-09,NA,"X8","DVM10",297
2023-01-09,"14:59:00","X8","VVX10",13.7
2023-01-09,"14:59:00","X8","DVVX10",304
2023-01-10,NA,"D5","TM",9.2
2023-01-10,"14:22:00","D5","TX",15.7
2023-01-10,"04:26:00","D5","TN",6.3
2023-01-10,NA,"D5","HRM",66
2023-01-10,"23:32:00","D5","HRX",97
2023-01-10,"15:26:00","D5","HRN",43
2023-01-10,NA,"D5","PM",977.5
2023-01-10,"10:39:00","D5","PX",979.7
2023-01-10,"00:09:00","D5","PN",974.7
2023-01-10,NA,"D5","PPT",0
2023-01-10,NA,"D5","RS24h",9.1
2023-01-10,NA,"D5","VVM10",5.6
2023-01-10,NA,"D5","DVM10",295
2023-01-10,"02:05:00","D5","VVX10",12.9
2023-01-10,"02:05:00","D5","DVVX10",316
